id;quantity;unit_of_measure;lower_calorific_value;sulphur_content;density;viscosity;water_content;bunker_received_note_id;fuel_type_id
1;29742.78;M3;29013.46;20568.75;12061.4;11456.82;32642.49;1;1
2;22211.66;M_TONNES;8703.18;20351.79;29201.58;3012.66;4260.41;2;2
3;14139.47;M3;7269.59;32095.06;32733.02;2528.39;26581.25;3;3
4;7934.12;M3;25088.29;24177.08;14493.26;3610.02;1958.59;4;4
5;31477.69;M3;15878.04;5125.52;26344.66;25683.28;27541.27;5;5
6;2841.27;M3;20506.07;7587.04;6196.95;23643.7;8010.35;6;6
7;30322.4;M3;19120.78;18430.23;24089.12;20137.55;10480.67;7;7
8;2440.82;M_TONNES;28413.59;3101.45;30451.23;31198.37;29342.21;8;8
9;30548.54;M3;14583.42;7104.21;6583.4;7066.61;3716.13;9;9
10;31213.43;M3;4712.19;21630.81;13292.56;17521.55;731.17;10;10
