id;quantity;unit_of_measure;co_2_emission_source_type_code;lower_calorific_value;sulphur_content;density;viscosity;water_content;port_activity_code;diff_criterion_code;event_report_id;fuel_type_id
1;26334.57;M3;AUX_ENGINE;26465.54;9079.02;8331.34;21035.81;11418.02;AT_BERTH;FREIGHT_TRANSPORT;1;1
2;27194.89;M_TONNES;MAIN_ENGINE;2325.77;15107.09;114.75;10582.43;4942.12;AT_BERTH;CARGO_HEATING;2;2
3;32374.08;M_TONNES;AUX_ENGINE;2374.78;24366.72;19826.56;15482.72;15544;AT_BERTH;DYNAMIC_POSITIONING;3;3
4;11400.38;M3;GAS_TURBINE;27549.19;12042.98;19446.96;25392.81;12184.04;MOVEMENT;ON_BALLAST;4;4
5;8716.45;M3;BOILER;7356.08;10227.2;23379.39;26922.01;27993.51;MOVEMENT;FREIGHT_TRANSPORT;5;5
6;32353.06;M_TONNES;GAS_TURBINE;26616.76;22310.77;19950.8;19035.41;19782.25;AT_BERTH;FREIGHT_TRANSPORT;6;6
7;32374.3;M3;AUX_ENGINE;23332.13;14537.31;10253.14;21757.59;30365.45;AT_BERTH;CARGO_HEATING;7;7
8;21571.35;M3;GAS_TURBINE;3459.91;15698.2;18438.14;7605.95;27661.53;MOVEMENT;PASSENGER_TRANSPORT;8;8
9;25813.24;M_TONNES;AUX_ENGINE;13342.88;21134.64;31616.21;21855.85;26031.12;MOVEMENT;CARGO_HEATING;9;9
10;21242.98;M_TONNES;INERT_GAS_GENERATOR;3591.41;28467.99;31781.48;5328.47;11616.76;AT_BERTH;FREIGHT_TRANSPORT;10;10
