id;year;co_2_gwp;methane_gwp;nitrous_gwp;target_intensity;baseline_intensity;reduction_factor_percent;vlsfo_energy_content_per_ton_mj;vlsfo_penalty_eur_per_ton;energy_allowance_multiplier;non_bio_fuel_reward_factor
1;6396;15284;11779;12704;23204.71;13786.35;14848.54;21437.74;11830.44;14859.3;13510.53
2;3270;4542;2202;269;25125.2;31816.79;24710.48;27537.77;22705.78;27569.16;23994.9
3;17841;11336;18842;8643;8054.91;29552.46;9263.16;14446.7;29548.24;26143.64;7828.42
4;12270;5072;2315;12474;14915.01;12074.18;22473.93;6813.95;26024.2;2256.34;3368.11
5;23680;30398;23765;1659;9822.55;11354.49;4445.03;20216.65;1674.31;25002.63;700.52
6;5783;4108;31767;25191;5220.91;106.39;31182.57;6658.88;25861.24;10227.81;9666.28
7;17281;27757;5398;17325;18639.34;3927.08;8109.63;30216.56;6322.22;10635.94;31575.16
8;29572;1230;21647;32424;29080.99;25675.96;2314.01;8182.06;8554.46;14547.07;26617.39
9;10246;11573;27675;9050;11138.77;28474.15;27083.53;31290.55;329.48;21461.56;4515.06
10;17102;11638;28856;9381;3817.08;935.45;19750.89;7205;25691.17;12550.53;21825.7
