id;name;call_sign;ice_class_polar_code;technical_efficiency_code;ship_type;monitoring_method_code
1;beside;what candid;PC7;NA;RCV;DIRECT
2;foolishly libel;plugin;PC6;EEDI;RORO;DIRECT
3;whenever ah so;as grandiose ideal;PC4;EEDI;LNG;BUNKER_TANK
4;toward until expostulate;what;IA;NA;CONT_RORO;FLOW_METERS
5;hence which between;better unless;PC4;EIV;OTHER;BDN
6;splurge;pro;IA_SUPER;NA;RCV;FLOW_METERS
7;as oof;lowball although boastfully;PC4;EIV;GAS;FLOW_METERS
8;while except;lovingly;IA;EEDI;RCV;BDN
9;yum;sophisticated;IB;NA;BULK;BUNKER_TANK
10;meh;phew versus unselfish;PC2;EIV;OIL;BUNKER_TANK
